Índice;Data;Bloco;Horário;Bairro;partida;dispersao
1;6 de Fevereiro - Sexta;Banda Bantantã Folia;16:00;Butantã;Av. Vital Brasil;Av.Valdemar Ferreira
2;6 de Fevereiro - Sexta;Bloco O Pinto do Visconde;17:00;Brás;R. Caetano Pinto;R. Caetano Pinto
4;7 de Fevereiro - Sábado;Bloco Amor Barato;09:00;Barra Funda;R. Barra Funda;R. Lavradio
5;7 de Fevereiro - Sábado;Bloco Urubózinho;09:00;Freguesia do Ó;Largo da Matriz de Nossa Senhora do Ó;Largo da Matriz de Nossa Senhora do Ó
6;7 de Fevereiro - Sábado;Integrafolia;09:00;Jardim Cliper;R. Cassiano dos Santos;R. Cassiano dos Santos
7;7 de Fevereiro - Sábado;Doentes da Sapucaí KIDS;09:00;Vila Mariana;R. Marselhesa;R.Marselhesa
8;7 de Fevereiro - Sábado;Carnafacul - Quem Pede, Pede;09:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento às Bandeiras
9;7 de Fevereiro - Sábado;Arrianu Suassunga;09:30;Pinheiros;R. Padre Carvalho;R. Padre Carvalho
10;7 de Fevereiro - Sábado;A Gente se Vira;10:00;Alto de Pinheiros;R. Vitorino de Carvalho;R. Vitorino de Carvalho
11;7 de Fevereiro - Sábado;Broco da Burocra;10:00;Campos Elíseos;R. Barão de Limeira;R. Souza Lima
12;7 de Fevereiro - Sábado;ASSOCIACAO RECREATIVA E CULTURAL BLOCO CARNAVALESCO BLOCO LOVE LIFE.;10:00;Nossa Senhora do O;R. Laguna;entre R. Bragança Paulista e R. Castro Verde
13;7 de Fevereiro - Sábado;Bloco Spandeiro;10:00;República;Pça. Dom José Gaspar;Pça. Dom José Gaspar
14;7 de Fevereiro - Sábado;Bloco do 13;10:00;República;R. Dr. Vila Nova;R. Marques de Itu
15;7 de Fevereiro - Sábado;Bloco Elástico;10:00;República;R. Desembargador Herótides da Silva Lima;R. Desembargador Herótides da Silva Lima
16;7 de Fevereiro - Sábado;Afose Vozes do Orun;10:00;Vila Diva;R. Carolina Soares;Pça. Antonio Velasco
17;7 de Fevereiro - Sábado;Bloco Sargento Pimenta;11:00;;R. dos Pinheiros 600;R. dos Pinheiros 54
18;7 de Fevereiro - Sábado;A Madonna Tá Aqui;11:00;Centro Histórico de São Paulo;Pateo do Colegio;R. Benjamin Constant
